id,first_name,last_name,notes,birth_date,death_date,date_added,date_updated
1,James,Ployhar,"",1926-09-22,2007-01-02,2025-06-27 03:06:33.726355+00,2025-06-27 03:06:33.726367+00
2,Michael,Sweeney,"",1952-09-10,,2025-06-27 03:08:28.622862+00,2025-06-27 03:08:28.622878+00
3,Steven,Sudduth,"",,,2025-06-27 20:11:51.428955+00,2025-06-27 20:11:51.428967+00
4,Lucien,Cailliet,"",1891-05-22,1985-01-03,2025-06-27 20:12:43.259759+00,2025-06-27 20:12:43.259769+00
6,M.,Brand,"",,,2025-06-27 20:39:16.861536+00,2025-06-27 20:39:16.86155+00
8,M.,Hindley,"",,,2025-06-27 20:39:44.022534+00,2025-06-27 20:39:44.022546+00
9,Mayhew,Lake,"",1879-10-25,1955-03-15,2025-06-28 20:07:49.261154+00,2025-06-28 20:07:49.261165+00
10,H.R.,Kent,"",,,2025-06-28 20:08:40.885594+00,2025-06-28 20:08:40.885606+00
11,Mark,Spede,exact birth date unknown,1962-01-01,,2025-06-28 20:09:21.857872+00,2025-06-28 20:09:21.857883+00
12,George,Drumm,"",1874-09-28,1959-12-16,2025-06-28 20:10:00.666868+00,2025-06-28 20:10:00.666881+00
13,H. Robert,Reynolds,"",1934-04-19,,2025-06-28 20:10:35.936716+00,2025-06-28 20:10:35.936726+00
14,Keith,Wilson,"",,,2025-06-28 20:12:04.814626+00,2025-06-28 20:12:04.81464+00
15,Arthur,Frackenpohl,"",1924-04-23,2019-06-08,2025-06-28 20:13:16.709444+00,2025-06-28 20:13:16.709457+00
16,Philip,Sparke,"",1951-12-29,,2025-06-28 21:41:52.058557+00,2025-06-28 21:41:52.058571+00
17,James,Stephenson,exact birthdate unknown,1969-01-01,,2025-06-28 21:43:38.784063+00,2025-06-28 21:43:38.784077+00
18,L.,Pay,"",,,2025-06-29 01:59:00.744272+00,2025-06-29 01:59:00.744289+00
19,G.,Smith,"",,,2025-06-29 01:59:08.962115+00,2025-06-29 01:59:08.962128+00
20,Christopher,Weait,"",1939-03-27,,2025-06-29 02:00:07.654072+00,2025-06-29 02:00:07.654085+00
21,Richard Franko,Goldman,"",1910-12-07,1980-01-19,2025-06-29 02:01:02.261813+00,2025-06-29 02:01:02.261823+00
22,Louis-Philippe,Laurendeau,exact birthday unknown,1861-01-01,1916-02-13,2025-06-29 02:01:53.270185+00,2025-06-29 02:01:53.270197+00
23,James,Curnow,"",1943-04-17,,2025-06-29 02:02:45.095434+00,2025-06-29 02:02:45.095443+00
24,David,Bennett,"",1892-09-03,1990-08-27,2025-06-29 02:03:33.005017+00,2025-06-29 02:03:33.005026+00
5,Charles J.,Roberts,"",,,2025-06-27 20:37:38.212323+00,2025-07-04 01:25:05.731668+00
247,Roger,Niese,exact birthdate unknown,1970-01-01,,2025-07-04 17:32:21.263008+00,2025-07-04 17:32:21.263018+00
250,Julie,Giroux,"",1961-12-12,,2025-07-04 18:29:18.097568+00,2025-07-04 18:29:18.097579+00
254,Robert W.,Smith,"",1958-10-24,2023-09-21,2025-07-06 14:40:22.281857+00,2025-07-06 14:40:22.281866+00
255,Thomas,Zimmerman,LCB Member,,,2025-07-10 01:14:38.671591+00,2025-07-10 01:14:38.671606+00
256,Alex,Steurs,https://www.hebu-music.com/en/musician/alex-steurs.22694/,1965-04-08,,2025-10-23 20:29:52.100902+00,2025-10-23 20:29:52.100912+00
7,"",Bourgeois,"",,,2025-06-27 20:39:32.967956+00,2025-06-27 20:39:32.96797+00
248,Naohiro,Iwai,"",1923-10-02,2014-05-10,2025-07-04 17:51:14.625025+00,2025-07-04 17:51:14.625035+00
251,Samuel,McIlhagga,Former director of the LCB,,,2025-07-05 15:40:22.27115+00,2025-07-05 15:40:22.271161+00
257,Goff,Richards,https://en.wikipedia.org/wiki/Goff_Richards,1944-08-18,2011-06-25,2025-10-23 20:32:32.68179+00,2025-10-23 20:32:32.6818+00
134,Robert,King,"",,,2025-07-03 04:00:00+00,2025-07-04 18:17:14.130165+00
252,B. Littell,Bruske,"",,,2025-07-06 14:36:08.564508+00,2025-07-06 14:36:08.564518+00
25,Hawley,Ades,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
26,Harry L.,Alford,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
27,John,Anderson,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
28,Malcolm,Arnold,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
29,John L.,Bach,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
30,"",Bachman,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
31,Glenn Cliff,Bainum,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
32,Robert M.,Ban-,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
33,Eric,Banks,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
34,Robert J.,Bardeen,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
35,Warren,Barker,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
36,George D.,Barnard,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
37,Clifford,Barnes,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
38,Walter,Beeler,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
39,Karel,Belohoubek,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
40,Robert Russell,Bennett,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
41,Jerry,Bilik,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
42,Jay,Bocock,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
43,"",Boston Brass,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
44,Rosarlo,Bourdon,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
45,Keith,Brion,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
46,Lester,Brockton,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
47,T. Conway,Brown,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
48,Jack transc,Bullock,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
49,James H.,Burden,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
50,Howard,Cable,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
51,John,Cacavas,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
52,Antonio,Cafarella,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
53,Ralph,Carmichael,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
54,Charles,Carter,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
55,"",Cheetham,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
56,Ed,Chenette,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
57,L. W.,Chidester,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
58,James,Christensen,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
59,"",Clark,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
60,Larry,Clark,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
61,Tom,Clark,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
62,M. L.,Cleveland,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
63,Frank D.,Cofield,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
64,Hugh,Conrad,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
65,"",Cramer,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
66,Robert,Cray,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
67,Travis,Cross,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
68,Calvin,Custer,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
69,Antonio,d'Elia,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
70,"",Damrosch,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
71,Albert Oliver,Davis,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
72,Carroll,Decamp,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
73,Norman C.,Dietz,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
74,"",DiMartino?,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
75,"",Dolmatsch,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
76,Carmen,Dragon,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
77,M.,Duker,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
78,Patrick,Dunnigan,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
79,W. J.,Duthoit,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
80,John,Edmondson,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
81,Michael,Edwards,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
