id,first_name,last_name,notes,birth_date,death_date,date_added,date_updated
1,Frank,Ticheli,"",1958-01-21,,2025-06-27 03:00:29.291327+00,2025-06-27 03:00:29.291338+00
2,Alfred,Reed,"",1921-01-25,2005-09-17,2025-06-27 03:01:28.419562+00,2025-06-27 03:01:28.419575+00
3,Eric,Whitacre,"",1970-01-02,,2025-06-27 03:02:43.937635+00,2025-06-27 03:02:43.937646+00
4,Leroy,Anderson,"",1908-06-29,1975-05-18,2025-06-27 03:03:45.276116+00,2025-06-27 03:03:45.276128+00
5,Lee,Mendelson,"",1933-03-24,2019-12-25,2025-06-27 03:05:04.53714+00,2025-06-27 03:05:04.537153+00
6,Vince,Guaraldi,"",1928-07-17,1976-02-06,2025-06-27 03:05:49.396007+00,2025-06-27 03:05:49.396025+00
7,Julie,Giroux,"",1961-12-12,,2025-06-27 20:01:28.332444+00,2025-06-27 20:01:28.332464+00
8,Johann,Strauss Sr.,"",1804-03-14,1849-09-25,2025-06-27 20:02:47.041853+00,2025-06-27 20:02:47.041868+00
9,Václav,Nelhýbel,"",1919-09-24,1996-03-22,2025-06-27 20:03:56.248806+00,2025-06-27 20:03:56.248819+00
10,Florence,Price,"",1887-04-09,1953-06-03,2025-06-27 20:04:38.837919+00,2025-06-27 20:04:38.83793+00
11,Scott,McAllister,"exact birth date not known, only the year",1969-01-01,,2025-06-27 20:06:53.402068+00,2025-06-27 20:06:53.402081+00
12,Darius,Milhaud,"",1892-09-04,1974-06-22,2025-06-27 20:10:34.270718+00,2025-06-27 20:10:34.27073+00
13,Richard,Wagner,"",1813-05-22,1883-02-13,2025-06-27 20:11:22.572954+00,2025-06-27 20:11:22.572968+00
14,Louis,Ganne,"",1862-04-05,1923-07-13,2025-06-27 20:30:39.067811+00,2025-06-27 20:30:39.067825+00
15,Claude,Debussy,"",1862-08-22,1918-03-25,2025-06-27 20:31:17.734759+00,2025-06-27 20:31:17.734773+00
17,Franz,Doppler,"",1821-10-16,1883-07-27,2025-06-27 20:33:42.088078+00,2025-06-27 20:33:42.088088+00
18,Jan,Van der Roost,"",1956-03-01,,2025-06-27 20:34:23.672211+00,2025-06-27 20:34:23.672225+00
19,Martin,Ellerby,exact date of birth not known,1957-01-01,,2025-06-27 20:35:13.391715+00,2025-06-27 20:35:13.391729+00
20,Camille,Saint-Saëns,"",1835-10-09,1921-12-16,2025-06-27 20:36:08.936432+00,2025-06-27 20:36:08.936441+00
21,Jacques,Offenbach,"",1819-06-20,1880-10-05,2025-06-28 20:02:14.974673+00,2025-06-28 20:02:14.974685+00
22,David,Del Tredici,"",1937-03-16,2023-11-18,2025-06-28 20:04:26.98823+00,2025-06-28 20:04:26.98824+00
23,Gustav,Holst,"",1874-09-21,1934-05-25,2025-06-28 20:05:01.404143+00,2025-06-28 20:05:01.404155+00
24,Morten,Lauridsen,"",1943-02-27,,2025-06-28 20:06:10.514477+00,2025-06-28 20:06:10.514493+00
25,Paul,Hindemith,"",1895-11-16,1963-12-28,2025-06-28 20:06:44.160592+00,2025-06-28 20:06:44.160602+00
26,David,Lovrien,exact birthdate unknown,1963-01-01,,2025-06-28 21:39:59.459792+00,2025-06-28 21:39:59.459804+00
27,Jester,Hairston,"",1901-07-01,2000-01-18,2025-06-28 21:40:36.793239+00,2025-06-28 21:40:36.793251+00
28,Stephen,Reisteter,"",1957-11-30,,2025-06-28 21:41:08.771805+00,2025-06-28 21:41:08.771815+00
30,Herbert,Hazelman,"",1913-10-13,2007-12-16,2025-06-29 01:47:59.547799+00,2025-06-29 01:47:59.547811+00
31,Percy,Grainger,"",1882-07-08,1961-02-20,2025-06-29 01:48:38.901671+00,2025-06-29 01:48:38.901691+00
32,Julius,Fučik,"",1872-07-18,1916-09-25,2025-06-29 01:49:33.454554+00,2025-06-29 01:49:33.454564+00
33,Ludwig van,Beethoven,"",1770-12-17,1827-03-26,2025-06-29 01:52:32.945775+00,2025-06-29 01:52:32.945786+00
29,Carl Maria von,Weber,"",1786-11-18,1826-06-05,2025-06-29 01:47:08.810397+00,2025-06-29 01:52:47.350874+00
34,P.D.Q.,Bach,"Fictional composer, aka Peter Schickele",,,2025-06-29 01:53:52.238626+00,2025-06-29 01:53:52.238638+00
35,Peter,Schickele,"",1935-07-17,2024-01-16,2025-06-29 01:54:39.447163+00,2025-06-29 01:54:39.447178+00
36,Edwin Franko,Goldman,"",1878-01-01,1956-02-21,2025-06-29 01:55:26.954416+00,2025-06-29 01:55:26.95443+00
1961,Pedro,Iturralde,aka Pedro Iturralde Ochoa,1929-07-03,2020-11-01,2025-07-04 17:30:00.874511+00,2025-07-04 17:30:00.874524+00
16,Pierre,LaPlante,"According to windrep.org, it is LaPlante, not La Plante",1943-09-25,2024-05-22,2025-06-27 20:32:42.42048+00,2025-07-05 15:36:18.340709+00
1966,Johnny,Marks,"",1909-10-11,1985-09-03,2025-07-10 00:55:10.360524+00,2025-07-10 00:55:10.360536+00
1970,Dmitri,Kabalevsky,"",1904-12-30,1987-02-14,2025-09-09 21:03:20.35869+00,2025-09-09 21:03:20.358699+00
1973,Nicholas,Brodszky,https://en.wikipedia.org/wiki/Nicholas_Brodszky,1905-04-20,1958-12-24,2025-10-23 20:25:54.525053+00,2025-10-23 20:25:54.525062+00
1975,Johan,de Meij,https://en.wikipedia.org/wiki/Johan_de_Meij,1953-11-23,,2025-11-13 23:24:57.9758+00,2025-11-13 23:24:57.97581+00
507,Adolphe,Adam,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
198,David,Holsinger,"",,,2025-07-03 04:00:00+00,2025-07-04 17:42:14.068792+00
1967,James,Pierpont,"",1822-04-25,1893-08-05,2025-07-10 01:00:05.578202+00,2025-07-10 01:00:05.578212+00
1971,Emmanuel,Séjourné,"",1961-07-16,,2025-09-09 21:05:04.299764+00,2025-09-09 21:05:04.299775+00
1974,Alan,Silvestri,"",1950-03-26,,2025-10-23 23:53:03.718725+00,2025-10-23 23:54:36.338734+00
1976,Steven,Sudduth,"LCB Music Director, 2024-",,,2025-11-13 23:25:24.374334+00,2025-11-13 23:25:24.37435+00
122,"",Fine,"",,,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
1962,Sally,Greenaway,exact birthday unknown,1984-01-01,,2025-07-04 18:19:46.919574+00,2025-07-04 18:19:46.919588+00
1968,G.,Morse,"",,,2025-07-10 01:12:29.456564+00,2025-07-10 01:12:29.456576+00
1972,Brian,Balmages,"",1975-01-24,,2025-09-09 21:06:14.375068+00,2025-09-09 21:06:14.375077+00
1977,Ingolf,Dahl,https://en.wikipedia.org/wiki/Ingolf_Dahl,1912-06-09,1970-08-06,2025-11-13 23:26:21.454142+00,2025-11-13 23:26:21.454152+00
1963,Anthony,Iannaccone,exact birthdate unknown,1943-01-01,,2025-07-05 15:34:54.505184+00,2025-07-05 15:34:54.505199+00
1969,Robert,Thurston,exact birthdate unknown,1959-01-01,,2025-07-10 01:13:53.373117+00,2025-07-10 01:13:53.373131+00
1978,Nick,Simmons-Smith,"",,,2025-11-13 23:26:37.072021+00,2025-11-13 23:26:37.072031+00
516,Harold,Arlen,"",,,2025-07-03 04:00:00+00,2025-07-04 17:38:19.967419+00
1964,John,Mackey,"",1973-10-01,,2025-07-05 15:35:33.391734+00,2025-07-05 15:35:33.391745+00
54,Andrew,"Boysen, Jr.","",1968-09-29,,2025-07-03 04:00:00+00,2025-09-09 21:07:04.888525+00
