id,title,first_name,middle_initial,last_name,notes,date_added,date_updated
6,"",John,T.,Madden,"Associate Professor of Music, Associate Director of Bands, Michigan State University",2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
7,"",Donald,"",Flickinger,"Academic Department Head, College of Arts and Sciences Humanities Department, Ferris State University",2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
8,"",Kenneth,G.,Bloomquist,"Directory of Bands Emeritus, Michigan State University",2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
9,"",Richard,J.,Suddendorf,Former Director of Bands and Professor of Music at Western Michigan University,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
10,"",John,"",Endahl,"Associate Conductor, Lansing Concert Band",2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
11,Dr.,Wesley,J.,Broadnax,"Assistant Professor of Music, Assistant Professor of Bands, Michigan State University",2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
12,"",John,"",Whitwell,"Former Director of Bands, Professor of Music, and Chair of the Conducting Department, Michigan State University",2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
13,"",Ken,"",Bauman,"",2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
14,"",Nathan,"",Kruse,Ph.D. at MSU,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
15,"",James,"",Colonna,Pd.D. at MSU,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
16,Dr.,Gary,"",Sullivan,LCB Music Director,2025-07-03 04:00:00+00,2025-07-03 04:00:00+00
1,Dr.,Steven,"",Sudduth,"LCB Artistic Director and Conductor, August 2024 -> current",2025-06-27 02:50:46.513808+00,2025-06-27 02:50:46.513822+00
3,Dr.,Kevin,"",Sedatole,"Director of Bands, Michigan State University (2024)",2025-06-27 20:27:22.626816+00,2025-06-27 20:27:22.626832+00
4,Dr.,Samuel,"",McIlhagga,LCB Artistic Director and Conductor ( - 2023),2025-06-28 20:19:04.585482+00,2025-06-28 20:19:04.585495+00
