id,title,first_name,middle_initial,last_name,notes,date_added,date_updated
2,"",Kelly,"",Sandula-Gruner,Vocalist,2025-06-27 02:52:18.448945+00,2025-06-27 02:52:18.448964+00
3,"",Dan,"",Templin,Vocalist,2025-06-27 02:52:31.690561+00,2025-06-27 02:52:31.690572+00
4,"",William,"",Blythe,Okemos assistant band director (2024),2025-06-27 12:21:57.797737+00,2025-06-27 12:21:57.797751+00
5,"",Chris,"",Wheeler,Oboe soloist,2025-06-27 19:58:26.592071+00,2025-06-27 19:58:26.592093+00
6,"",Tawnya,"",Hicks-Letts,"Band Director, Lansing Eastern HS",2025-06-27 19:58:50.129375+00,2025-06-27 19:58:50.129391+00
7,"",Mallory,"",Voris,"",2025-06-27 20:27:47.387975+00,2025-06-27 20:27:47.387988+00
8,"",Penelope,"",Wernet,"2024 Young Artist, Grand Ledge HS, Flutist",2025-06-27 20:28:33.475781+00,2025-06-27 20:28:33.475797+00
9,"",John,"",Endahl,"",2025-06-28 23:08:07.762271+00,2025-06-28 23:08:07.762281+00
10,"",Carolyn,"",Sherrill,"",2025-06-28 23:08:18.146147+00,2025-06-28 23:08:18.146159+00
11,"",Ken,"",Glickman,"",2025-06-28 23:08:28.242577+00,2025-06-28 23:08:28.242592+00
12,"",Michelle,"",Pollok,"",2025-06-28 23:08:39.169533+00,2025-06-28 23:08:39.169544+00
13,"",Alec,"",Jachalke,"2023 Young Artist, Bassonist",2025-06-29 02:04:31.474084+00,2025-06-29 02:04:31.474099+00
1,"","","",LCB Big Band,"",2025-06-27 02:52:02.085493+00,2025-06-27 02:52:02.085507+00
15,"",Alex,"",Belkin,"Saxophone soloist, member of the LCB, featured in July 2025",2025-07-04 16:36:29.935311+00,2025-07-04 16:36:29.935328+00
14,"",AnnaMaria,"",Horn,"LCC vocalist, featured in July 2025",2025-07-04 16:35:20.638766+00,2025-07-04 16:36:56.674491+00
16,"",Zora,"",Alfredson,"2022 Young Artist winner, French Horn from East Lansing HS",2025-07-06 14:32:19.223728+00,2025-07-06 14:32:19.223741+00
17,"",Henry,"",Nelson,Former conductor of the LCB (early years),2025-07-06 14:47:27.960194+00,2025-07-06 14:47:27.960207+00
18,"",Karl,"",Rueterbusch,"Marimba soloist, winner of the 2020 Young Artist/Bloomquist Prize (performance delayed due to COVID)",2025-07-10 01:39:22.912468+00,2025-09-09 21:12:51.841089+00
19,Mayor,Andy,"",Schor,Mayor of the City of Lansing,2025-09-09 21:15:44.0182+00,2025-09-09 21:15:44.018213+00
20,"",Paul,"",Gifford,Clarinet player in the LCB,2025-10-23 20:46:19.339766+00,2025-10-23 20:46:19.33979+00
21,"","","",Capital City Brass Band,"",2025-10-23 20:46:40.925611+00,2025-10-23 20:46:40.925622+00
22,"",Ralph,"",Votapek,"Professor Emeritus of Piano, MSU",2025-10-23 23:50:41.855217+00,2025-10-23 23:50:41.855228+00
23,"",David,"",Larzelere,East Lansing HS Band director (2025),2025-11-13 23:27:28.738422+00,2025-11-13 23:27:28.738434+00
24,"",Nathan,"",Phillips,2025 Bloomquist Prize winner - saxophone,2025-11-13 23:28:06.406681+00,2025-11-13 23:28:06.406693+00
