id,title,location_drawer,location_number,difficulty,status,year_published,date_acquired,purchase_price,purchase_source,lend_start_date,expected_return_date,rental_start_date,rental_end_date,rental_fee,borrowing_start_date,expected_borrowing_return_date,duration,score_missing,notes,date_added,date_updated,borrowing_organization_id,lending_organization_id,publisher_id,renting_organization_id
57,Colonel Bogey March,37,9,"","",,,,"",,,,,,,,,f,"",2025-07-03 04:00:00+00,2025-07-04 16:34:11.470485+00,,,,
1037,Pequeña Czarda,,,"","",,,,"",,,,,,,,,f,Performed by LCB member Alex Belkin summer 2025,2025-07-04 17:33:58.654237+00,2025-07-04 18:08:04.580078+00,,,,
1051,Star Wars Triology,,,"","",,,,"",,,,,,,,,f,I. The Imperial March (Darth Vader's Theme); II. Princess Leia's Theme; III. Battle in the Forest; IV. Yoda's Theme; V. Star Wars (Main Theme),2025-07-06 14:46:31.374889+00,2025-07-06 14:46:31.374901+00,,,,
1052,Jingle Them Bells,,,"","",,,,"",,,,,,,,,f,"",2025-07-10 01:15:45.824747+00,2025-07-10 01:15:45.82476+00,,,,
1057,"Overture to ""Colas Breugnon""",,,"","",,,,"",,,,,,,,,f,"",2025-09-09 21:09:04.214929+00,2025-09-09 21:09:04.214939+00,,,,
1014,American Hymnsong Suite,60,5,"",O,1989,,,"",,,,,,,,,f,"I. -Prelude on “Wonderous Love”, II. - Ballad on ""Balm in Gilead"", III. - Scherzo on ""Nettleton"", IV. - March on ""Wilson""",2025-07-03 04:00:00+00,2025-10-23 21:05:35.104837+00,,,1,
691,Eternal Father Strong to Save,5,11,"","",1975,,,"",,,,,,,,,f,"",2025-07-03 04:00:00+00,2025-11-11 00:33:41.661613+00,,,,
1,Joy Revisited,,,"",O,2005,,,"",,,,,,,,,f,"",2025-06-27 02:58:53.948523+00,2025-06-27 03:09:20.100495+00,,,,
46,Cantique de Noel,23,17,,,,,,"",,,,,,,,,,"",2025-07-03 04:00:00+00,2025-07-03 04:00:00+00,,,,
5,Christmas Sing-a-Long,,,"",O,,,,"",,,,,,,,,f,"",2025-06-27 03:11:21.464452+00,2025-06-27 03:37:52.093889+00,,,,
6,Christmas Time is Here,,,"",O,1966,,,"",,,,,,,,,f,"from ""A Charlie Brown Christmas""",2025-06-27 03:12:02.070385+00,2025-06-27 03:38:04.083696+00,,,,
3,Lux Aurumque (Light and Gold),,,"",O,2005,,,"",,,,,,,,,f,"",2025-06-27 03:10:32.065513+00,2025-06-27 03:38:14.895091+00,,,,
2,Russian Christmas Music,,,"",O,1969,,,"",,,,,,,,,f,"",2025-06-27 03:09:52.607762+00,2025-06-27 03:38:33.405506+00,,,,
4,Sleigh Ride,,,"",O,1948,,,"",,,,,,,,,f,"",2025-06-27 03:10:56.777711+00,2025-06-27 03:38:42.003746+00,,,,
47,Happy Days Are Here Again,46,23,,,,,,"",,,,,,,,,,"",2025-07-03 04:00:00+00,2025-07-03 04:00:00+00,,,,
8,Burning the Wicker Man,,,"",O,2020,,,"",,,,,,,,,f,"",2025-06-27 20:00:17.669817+00,2025-06-27 20:14:15.844136+00,,,,
716,Liberty Bell March,37,10,"","",,,,"",,,,,,,,,f,"",2025-07-03 04:00:00+00,2025-07-04 17:34:51.138568+00,,,,
588,American Red Cross March,49,16,"","",,,,"",,,,,,,,,f,"",2025-07-03 04:00:00+00,2025-07-06 14:46:53.892818+00,,,,
1053,Winter Winds,,,"","",,,,"",,,,,,,,,f,I. January,2025-07-10 01:16:15.873779+00,2025-07-10 01:16:15.873791+00,,,,
1058,Concerto for Marimba and Wind Orchestra,,,"","",,,,"",,,,,,,,,f,"performed by 2020 Bloomquist Prize winner, Karl Rueterbusch",2025-09-09 21:10:07.404749+00,2025-09-09 21:10:38.944132+00,,,,
1061,Sonatina for Clarinet,,,"","",1951,,,"",,,,,,,,,f,"I. Allegro con brio, II. Andantino, III. Furioso
Performed by LCB Member, Paul Gifford, 10/19/2025",2025-10-23 20:35:50.730917+00,2025-10-23 20:39:16.350344+00,,,9,
1063,Continental Overture,,,"","",1997,,,"",,,,,,,,,f,"",2025-11-13 23:30:47.325335+00,2025-11-13 23:30:47.325346+00,,,,
95,"Over the Rainbow from ""The Wizard of Oz""",32,12,"","",,,,"",,,,,,,,,f,"vocal solo, performed by AnnaMaria Horn in July 2025",2025-07-03 04:00:00+00,2025-07-04 17:39:18.167109+00,,,,
859,Harry Potter Symphonic Suite,33,18,"","",,,,"",,,,,,,,,f,"Hedwig's Theme, Nimbus 2000, Hogwarts Forever, Quidditch, Leaving Hogwarts, Harry's Wondrous World. Soundtrack from ""Harry Potter and the Sorcerer's Stone""",2025-07-03 04:00:00+00,2025-07-06 14:49:48.338143+00,,,,
1054,God Rest Ye Merry Gentlemen,,,"","",,,,"",,,,,,,,,f,"Chorale, Chorale Prelude, and Fugue",2025-07-10 01:17:00.214271+00,2025-07-10 01:17:00.214285+00,,,,
1059,March Diabolique,,,"","",,,,"",,,,,,,,,f,"",2025-09-09 21:11:13.340561+00,2025-09-09 21:11:13.340573+00,,,,
1062,I'll Walk With God,,,"","",1954,,,"",,,,,,,,,f,Arrangement with brass band,2025-10-23 20:45:47.072113+00,2025-10-23 20:45:47.072124+00,,,13,
1064,Twin Fountains March,,,"","",2004,,,"",,,,,,,,,f,"",2025-11-13 23:31:25.191731+00,2025-11-13 23:31:25.191755+00,,,,
890,Armed Forces Salute,38,11,"","",,,,"",,,,,,,,,f,"Includes ""The Casson Song"", ""Semper Pratus"", ""The Marine's Hymn"", and ""Anchors Aweigh"". No Space Force.",2025-07-03 04:00:00+00,2025-07-04 17:40:59.292471+00,,,,
125,West Side Story Selections,10,16,"","",,,,"",,,,,,,,,f,"from the soundtrack ""West Side Story""",2025-07-03 04:00:00+00,2025-07-06 14:50:26.427504+00,,,,
1055,Dreidel Dance,,,"","",,,,"",,,,,,,,,f,"",2025-07-10 01:17:30.616322+00,2025-07-10 01:17:30.616337+00,,,,
1060,Rest,,,"","",,,,"",,,,,,,,,f,Performed in dedication to the memory of LCB members who passed away in 2019.,2025-09-09 21:12:25.961498+00,2025-09-09 21:12:25.96151+00,,,,
1065,Concerto for Alto Saxophone and Wind Orchestra,,,"","",1949,,,"",,,,,,,,,f,"",2025-11-13 23:33:46.453806+00,2025-11-13 23:33:46.453818+00,,,,
388,On a Hymnsong of Philip Bliss,4,3,"","",,,,"",,,,,,,,,f,"",2025-07-03 04:00:00+00,2025-07-04 17:42:36.51672+00,,,,
1056,A Jazzy Christmas,,,"","",,,,"",,,,,,,,,f,For Concert Band with Big Band,2025-07-10 01:18:12.537507+00,2025-07-10 01:18:12.537522+00,,,,
1066,Songs of Hope,,,"","",2019,,,"",,,,,,,,,f,"",2025-11-13 23:34:37.058411+00,2025-11-13 23:36:28.217645+00,,,,
386,Second Suite for Military Band in F major,18,16,"","",,,,"",,,,,,,,,f,"I. March, II. Song without words ""I'll love my Love"", III. Song of the Blacksmith, IV. Fantasia on the ""Dargason""",2025-07-03 04:00:00+00,2025-07-04 17:46:39.096076+00,,,,
785,Shenandoah,5,18,"","",1999,,,"",,,,,,,,,f,"",2025-07-03 04:00:00+00,2025-07-04 17:48:14.489113+00,,,2,
1038,Tico-Tico (Zequinha Abreu),,,"","",,,,"",,,,,,,,,f,"",2025-07-04 17:52:02.811695+00,2025-07-04 17:52:02.811711+00,,,3,
837,America the Beautiful,38,10,"","",1963,,,"",,,,,,,,,f,"",2025-07-03 04:00:00+00,2025-07-04 17:54:00.615876+00,,,4,
1039,Illumination,,,"","",2014,,,"",,,,,,,,,f,"",2025-07-04 17:54:46.725948+00,2025-07-04 17:55:20.950368+00,,,5,
264,Canzon Septimi Toni No. 2,33,1,"","",,,,"",,,,,,,,,f,eight-part brass choir,2025-07-03 04:00:00+00,2025-07-04 18:16:56.926792+00,,,,
1041,Auróra Music Aímica,,,"","",,,,"",,,,,,,,,f,"""Here I am, contemplating the dawn again. This early morning time has become
irresistible, a moment with my thoughts and with awesome splendor.
Often there are no words that can express the awareness of the universe as I watch
light wash over the horizon. Dawn is friend of the muses. Auróra musis amíca.""",2025-07-04 18:18:35.47563+00,2025-07-04 18:35:26.200172+00,,,,
1042,Overture to a Winter Festival,,,"","",,,,"",,,,,,,,,f,"",2025-07-04 18:26:06.931496+00,2025-07-04 18:26:06.931512+00,,,,
915,Festive Sounds of Hanukah,25,20,"","",,,,"",,,,,,,,,f,"1. Rock of Ages, 2. Who Can Retell?, 3. Hanukah, Hanukah, 4. My Dreidel, 5. Spin, Dreidel, 6. Hanukah, O Hanukah",2025-07-03 04:00:00+00,2025-07-04 18:27:38.833426+00,,,,
1043,Christmas and Sousa Forever!,,,"","",,,,"",,,,,,,,,f,"",2025-07-04 18:28:40.176752+00,2025-07-04 18:29:40.810343+00,,,,
