id,name,website,notes,date_added,date_updated
1,TRN Music Publisher,"","",2025-07-04 17:43:30.978586+00,2025-07-04 17:43:30.9786+00
2,Manhattan Beach Music,"","",2025-07-04 17:47:48.104491+00,2025-07-04 17:47:48.104507+00
3,"De Haske Music Publishers, Ltd.","","",2025-07-04 17:48:56.267907+00,2025-07-04 17:48:56.267923+00
4,Dragon Music Co.,"","",2025-07-04 17:53:31.244382+00,2025-07-04 17:53:31.244393+00
5,Maslanka Press,"","",2025-07-04 17:55:03.837572+00,2025-07-04 17:55:03.837584+00
6,Willow Blossom Music,"","",2025-07-04 17:56:35.256259+00,2025-07-04 17:56:35.256271+00
7,Boosey & Hawkes Ltd.,"","",2025-07-04 17:58:14.634958+00,2025-07-04 17:58:14.634971+00
8,"Hal Leonard Music, Inc.","","",2025-07-04 18:04:17.486251+00,2025-07-04 18:04:17.486268+00
9,Complete Music Ltd.,"","",2025-10-23 20:36:45.830907+00,2025-10-23 20:36:45.830923+00
10,"Carl Fischer, Inc.","","",2025-10-23 20:40:24.142657+00,2025-10-23 20:40:24.142668+00
11,"Peterson's Publications, Ltd.","","",2025-10-23 20:41:57.402616+00,2025-10-23 20:41:57.402629+00
12,Hawkes & Son,"","",2025-10-23 20:43:52.175614+00,2025-10-23 20:43:52.175626+00
13,Harms Inc,"","",2025-10-23 20:44:44.711723+00,2025-10-23 20:44:44.711734+00
